index,entity,img,name,norm_name,folder_name
126,http://dbpedia.org/resource/Luciana_Littizzetto,http://commons.wikimedia.org/wiki/Special:FilePath/Littizzetto.jpg?width=300,Luciana Littizzetto,Luciana Littizzetto,Luciana Littizzetto
127,http://dbpedia.org/resource/Luciano_Cáceres,"http://commons.wikimedia.org/wiki/Special:FilePath/2015-05-21,_Luciano_Cáceres_en_la_inauguración_del_Centro_Cultural_Kirchner_(Buenos_Aires)_detalle.jpg?width=300",Luciano Cáceres,Luciano Cáceres,Luciano Cáceres
128,http://dbpedia.org/resource/Lucien_Bulathsinhala,http://commons.wikimedia.org/wiki/Special:FilePath/Lusion_image.jpg?width=300,Lucien Bulathsinhala,Lucien Bulathsinhala,Lucien Bulathsinhala
129,http://dbpedia.org/resource/Lucien_Bulathsinhala,http://commons.wikimedia.org/wiki/Special:FilePath/Lusion_image.jpg?width=300,ලූෂන් බුලත්සිංහල,Lucien Bulathsinhala,Lucien Bulathsinhala
130,http://dbpedia.org/resource/Lucy_Dixon,http://commons.wikimedia.org/wiki/Special:FilePath/Lucy_Dixon.jpg?width=300,Lucy Dixon,Lucy Dixon,Lucy Dixon
131,http://dbpedia.org/resource/Luděk_Sobota,http://commons.wikimedia.org/wiki/Special:FilePath/Sobota_Luděk.JPG?width=300,Ludek Sobota,Luděk Sobota,Luděk Sobota
132,http://dbpedia.org/resource/Luděk_Sobota,http://commons.wikimedia.org/wiki/Special:FilePath/Sobota_Luděk.JPG?width=300,Luděk Sobota,Luděk Sobota,Luděk Sobota
133,http://dbpedia.org/resource/Luis_Da_Silva,http://en.wikipedia.org/wiki/Special:FilePath/Luis_Da_Silva_Jr_Actor_Athlete.jpg?width=300,Luis Da Silva Jr,Luis Da Silva,Luis Da Silva
134,http://dbpedia.org/resource/Luise_Kinseher,http://commons.wikimedia.org/wiki/Special:FilePath/Luise_Kinseher.JPG?width=300,Luise Kinseher,Luise Kinseher,Luise Kinseher
135,http://dbpedia.org/resource/Luiz_Fernando_Guimarães,http://commons.wikimedia.org/wiki/Special:FilePath/Lfg2.jpg?width=300,Luiz Fernando Guimarães,Luiz Fernando Guimarães,Luiz Fernando Guimarães
136,http://dbpedia.org/resource/Luke_Newberry,http://commons.wikimedia.org/wiki/Special:FilePath/Luke_Newberry_2012.jpg?width=300,Luke Newberry,Luke Newberry,Luke Newberry
137,http://dbpedia.org/resource/Luíza_Tomé,http://commons.wikimedia.org/wiki/Special:FilePath/Luíza_Tomé1.jpg?width=300,Luíza Tomé,Luíza Tomé,Luíza Tomé
138,http://dbpedia.org/resource/Lynn_Carey,http://commons.wikimedia.org/wiki/Special:FilePath/Lynn_Carey_(1972).jpg?width=300,Lynn Carey,Lynn Carey,Lynn Carey
139,http://dbpedia.org/resource/Lynn_Lowry,http://commons.wikimedia.org/wiki/Special:FilePath/Lynn_Lowry.jpg?width=300,Lynn Lowry,Lynn Lowry,Lynn Lowry
140,http://dbpedia.org/resource/Lázaro_Ramos,http://commons.wikimedia.org/wiki/Special:FilePath/Lázaro_Ramos_13072007.jpg?width=300,Lázaro Ramos,Lázaro Ramos,Lázaro Ramos
141,http://dbpedia.org/resource/Léa_Fazer,http://commons.wikimedia.org/wiki/Special:FilePath/Lea_Fazer_Cabourg_2014.jpg?width=300,Léa Fazer,Léa Fazer,Léa Fazer
142,http://dbpedia.org/resource/Lý_Nhã_Kỳ,http://commons.wikimedia.org/wiki/Special:FilePath/Vietnamese_actress_Ly_Nha_Ky.jpg?width=300,Lý Nhã Kỳ,Lý Nhã Kỳ,Lý Nhã Kỳ
143,http://dbpedia.org/resource/MC_Lyte,http://commons.wikimedia.org/wiki/Special:FilePath/MC_Lyte.jpg?width=300,MC Lyte,MC Lyte,MC Lyte
144,http://dbpedia.org/resource/MF_Grimm,http://commons.wikimedia.org/wiki/Special:FilePath/MF+Grimm.jpg?width=300,MF Grimm,MF Grimm,MF Grimm
145,http://dbpedia.org/resource/Mabel_Rivera,http://commons.wikimedia.org/wiki/Special:FilePath/Mabel_Rivera-Praza_Publica.jpg?width=300,Mabel Rivera,Mabel Rivera,Mabel Rivera
146,http://dbpedia.org/resource/Macarena_García,http://commons.wikimedia.org/wiki/Special:FilePath/MacarenaGarcia.jpg?width=300,Macarena García,Macarena García,Macarena García
147,http://dbpedia.org/resource/Maciej_Maleńczuk,http://en.wikipedia.org/wiki/Special:FilePath/Maciej_Maleńczuk78.jpg?width=300,Maciej Maleńczuk,Maciej Maleńczuk,Maciej Maleńczuk
148,http://dbpedia.org/resource/Madampu_Kunjukuttan,http://commons.wikimedia.org/wiki/Special:FilePath/Madambu.jpg?width=300,Madampu Sankaran Namboothiri,Madampu Kunjukuttan,Madampu Kunjukuttan
149,http://dbpedia.org/resource/Madeleine_Martin_(Swedish_actress),http://commons.wikimedia.org/wiki/Special:FilePath/Madeleine_Martin_på_Guldbaggegalan_2013.jpg?width=300,Madeleine Martin,Madeleine Martin,Madeleine Martin
150,http://dbpedia.org/resource/Madhura_Naik,http://commons.wikimedia.org/wiki/Special:FilePath/Madhura_naik.jpg?width=300,Madhura Naik,Madhura Naik,Madhura Naik
151,http://dbpedia.org/resource/Magdalena_Lamparska,http://commons.wikimedia.org/wiki/Special:FilePath/Magdalena_Lamparska.jpg?width=300,Magdalena Lamparska,Magdalena Lamparska,Magdalena Lamparska
152,http://dbpedia.org/resource/Magdalena_Walach,http://commons.wikimedia.org/wiki/Special:FilePath/Magdalena_Walach_by_Foksal.jpg?width=300,Magdalena Walach,Magdalena Walach,Magdalena Walach
